award_id,award_date,vendor_name,award_amount,category,department,country,contract_type,fiscal_year
LC-2023-00039,2023-11-15,Catering Express Panama,670.3,Logistics & Transport,Logistics,USA,Fixed Price,2023.0
LC-2022-00040,2022-04-20,Energía Renovable S.A.,6603.08,Catering & Food,HR,Panama,Fixed Price,2022.0
LC-2023-00041,2023-06-02,TechSupplies Panama,88094.02,Office Supplies,Sales,Panama,Framework Agreement,2023.0
LC-2022-00042,2022-01-04,Distribuidora Global S.A.,44606.82,IT & Technology,Legal,Panama,Fixed Price,2022.0
LC-2023-00043,2023-07-29,TechSupplies Panama,,Office Supplies,Procurement,USA,Spot Purchase,2023.0
LC-2023-00044,2023-08-20,Uniforms & Workwear Co.,3128.61,Professional Services,Marketing,Panama,Framework Agreement,2023.0
LC-2023-00045,2023-11-30,Grupo Logístico del Istmo,6159.64,Maintenance & Repair,Operations,Panama,Time & Materials,2023.0
LC-2022-00046,2022-08-31,Uniforms & Workwear Co.,1669.42,Professional Services,Legal,USA,Time & Materials,2022.0
LC-2023-00047,2023-02-26,Uniforms & Workwear Co.,2462.77,Professional Services,Operations,Panama,Framework Agreement,2023.0
LC-2023-00048,2023-04-27,Oficentro Internacional,129126.35,Logistics & Transport,Finance,Panama,Fixed Price,2023.0
LC-2023-00049,2023-11-07,Oficentro Internacional,54849.15,Logistics & Transport,IT,Panama,Fixed Price,2023.0
LC-2023-00050,2023-11-27,Publicidad Digital LATAM,349.13,Marketing,Logistics,Panama,Spot Purchase,2023.0
LC-2022-00051,2022-02-09,Distribuidora Global S.A.,53578.37,IT & Technology,Logistics,Panama,Framework Agreement,2022.0
LC-2023-00052,2023-01-30,Oficentro Internacional,22877.32,Logistics & Transport,Administration,USA,Fixed Price,2023.0
LC-2023-00053,2023-01-08,Grupo Logístico del Istmo,16118.03,Maintenance & Repair,Marketing,USA,Time & Materials,2023.0
LC-2023-00054,2023-06-04,Cleaning Pro Services,12301.97,Catering & Food,Finance,Costa Rica,Framework Agreement,2023.0
LC-2023-00055,2023-11-12,Oficentro Internacional,125141.38,Logistics & Transport,HR,Panama,Spot Purchase,2023.0
LC-2022-00056,2022-11-08,Cleaning Pro Services,19869.08,Catering & Food,Logistics,Panama,Fixed Price,2022.0
LC-2023-00057,2023-11-23,DataCenter Solutions,1395.73,Medical Supplies,Procurement,Panama,Spot Purchase,2023.0
LC-2022-00058,2022-10-18,Mantenimiento Integral,3090.79,Office Supplies,HR,Colombia,Fixed Price,2022.0
LC-2022-00059,2022-08-19,Mantenimiento Integral,8077.96,Office Supplies,IT,Colombia,Framework Agreement,2022.0
LC-2023-00060,2023-04-12,Suministros Médicos del Sur,21233.12,Uniforms & PPE,Administration,Mexico,Fixed Price,2023.0
LC-2022-00061,2022-06-01,TRANSPORTES RÁPIDOS S.A.,2395.24,Marketing,Procurement,Panama,Time & Materials,2022.0
LC-2022-00062,2022-08-13,Seguridad Total Corp,3720.12,IT & Technology,Finance,Mexico,Spot Purchase,2022.0
LC-2022-00063,2022-05-17,Distribuidora Global S.A.,9627.68,IT & Technology,IT,Panama,Spot Purchase,2022.0
LC-2023-00064,2023-07-16,Cleaning Pro Services,817.04,Catering & Food,Procurement,USA,Spot Purchase,2023.0
LC-2023-00065,2023-06-18,Ferremax Industrial,96281.45,Professional Services,IT,Colombia,Framework Agreement,2023.0
LC-2022-00066,2022-11-24,Transportes Rápidos S.A.,37584.99,Marketing,IT,Panama,Framework Agreement,2022.0
LC-2022-00067,2022-03-07,Grupo Logístico del Istmo,33309.16,Maintenance & Repair,HR,Costa Rica,Time & Materials,2022.0
LC-2023-00068,2023-08-13,DISTRIBUIDORA GLOBAL S.A.,121083.96,IT & Technology,Legal,Panama,Fixed Price,2023.0
LC-2023-00069,2023-05-15,Papelería y Más,8454.5,Uniforms & PPE,Legal,USA,Time & Materials,2023.0
LC-2023-00070,2023-04-24,Oficentro Internacional,16745.02,Logistics & Transport,Legal,Costa Rica,Time & Materials,2023.0
LC-2022-00071,2022-03-27,FleetCars Panama,8451.45,Security,Administration,USA,Fixed Price,2022.0
LC-2023-00072,2023-04-11,Distribuidora Global S.A.,229956.14,IT & Technology,Legal,Panama,Time & Materials,2023.0
LC-2023-00073,2023-04-27,Papelería y Más,,Uniforms & PPE,Legal,Panama,Fixed Price,2023.0
LC-2022-00074,2022-02-01,Grupo Logístico del Istmo,237416.77,Maintenance & Repair,Finance,Mexico,Fixed Price,2022.0
LC-2023-00075,2023-08-01,TechSupplies Panama,1566.04,Office Supplies,HR,USA,Fixed Price,2023.0
LC-2022-00076,2022-06-17,Grupo Logístico del Istmo,97370.93,Maintenance & Repair,Administration,USA,Fixed Price,2022.0
LC-2022-00077,2022-03-19,Oficentro Internacional,40314.1,Logistics & Transport,Legal,Panama,Time & Materials,2022.0
LC-2023-00078,2023-08-03,Transportes Rápidos S.A.,3138.46,Marketing,Logistics,Colombia,Fixed Price,2023.0
LC-2022-00079,2022-01-13,Grupo Logístico del Istmo,40542.78,Maintenance & Repair,Marketing,Colombia,Framework Agreement,2022.0
LC-2023-00080,2023-03-22,Consultoría Estratégica,249.3,Medical Supplies,Procurement,Costa Rica,Time & Materials,2023.0
LC-2023-00081,2023-04-22,Cleaning Pro Services,3535.08,Catering & Food,Marketing,Mexico,Spot Purchase,2023.0
LC-2022-00082,2022-09-07,IT Solutions Group,8397.33,Maintenance & Repair,Finance,Panama,Spot Purchase,2022.0
LC-2023-00083,2023-05-15,Oficentro Internacional,213944.7,Logistics & Transport,Procurement,Panama,Time & Materials,2023.0
LC-2023-00084,2023-06-14,Uniforms & Workwear Co.,2258.81,Professional Services,Logistics,USA,Fixed Price,2023.0
LC-2023-00085,2023-10-24,Ferremax Industrial,13763.94,Professional Services,IT,Colombia,Spot Purchase,2023.0
LC-2022-00086,2022-11-10,Oficentro Internacional,19888.39,Logistics & Transport,Legal,Colombia,Time & Materials,2022.0
LC-2023-00087,2023-12-21,Oficentro Internacional,108932.37,Logistics & Transport,Marketing,Panama,Framework Agreement,2023.0
LC-2022-00088,2022-07-16,Papelería y Más,8047.58,Uniforms & PPE,Sales,Panama,Time & Materials,2022.0
LC-2022-00089,2022-04-13,Publicidad Digital LATAM,2220.22,Marketing,Marketing,USA,Framework Agreement,2022.0
LC-2022-00090,2022-02-16,Oficentro Internacional,67233.1,Logistics & Transport,Marketing,Panama,Framework Agreement,2022.0
LC-2023-00091,2023-08-11,Distribuidora Global S.A.,40802.27,IT & Technology,Procurement,Panama,Fixed Price,2023.0
LC-2022-00092,2022-03-08,Publicidad Digital LATAM,21014.49,Marketing,Logistics,USA,Fixed Price,2022.0
LC-2022-00093,2022-03-29,Distribuidora Global S.A.,15639.21,IT & Technology,HR,USA,Framework Agreement,2022.0
LC-2023-00094,2023-04-07,Cleaning Pro Services,3006.42,Catering & Food,Administration,Panama,Spot Purchase,2023.0
LC-2023-00095,2023-09-17,Grupo Logístico del Istmo,22685.25,Maintenance & Repair,Administration,USA,Fixed Price,2023.0
LC-2022-00096,2022-06-10,Cleaning Pro Services,547.15,Catering & Food,Logistics,Colombia,Fixed Price,2022.0
LC-2022-00097,2022-02-03,Grupo Logístico del Istmo,51810.3,Maintenance & Repair,Administration,USA,Framework Agreement,2022.0
LC-2023-00098,2023-03-12,Ferremax Industrial,49675.46,Professional Services,IT,Panama,Time & Materials,2023.0
LC-2022-00099,2022-06-19,Oficentro Internacional,36539.03,Logistics & Transport,HR,Panama,Fixed Price,2022.0
LC-2023-00100,2023-12-07,FleetCars Panama,3456.87,Security,Procurement,Panama,Spot Purchase,2023.0
LC-2023-00101,2023-03-19,MedEquip Latinoamerica,588.13,Security,Procurement,Panama,Fixed Price,2023.0
LC-2023-00102,2023-11-20,TechSupplies Panama,21921.55,Office Supplies,Administration,USA,Fixed Price,2023.0
LC-2022-00103,2022-10-12,TechSupplies Panama,24070.51,Office Supplies,Marketing,Colombia,Spot Purchase,2022.0
LC-2023-00104,2023-02-23,Ferremax Industrial,13867.0,Professional Services,Finance,USA,Framework Agreement,2023.0
LC-2023-00105,2023-07-18,Oficentro Internacional,29925.23,Logistics & Transport,Procurement,Panama,Spot Purchase,2023.0
LC-2023-00106,2023-11-05,Distribuidora Global S.A.,58974.54,IT & Technology,Legal,USA,Fixed Price,2023.0
LC-2023-00107,2023-10-03,MedEquip Latinoamerica,83222.99,Security,Administration,Costa Rica,Spot Purchase,2023.0
LC-2022-00108,2022-05-05,Distribuidora Global S.A.,,IT & Technology,Logistics,Panama,Spot Purchase,2022.0
LC-2023-00109,2023-07-20,Transportes Rápidos S.A.,7232.4,Marketing,Logistics,USA,Fixed Price,2023.0
LC-2023-00110,2023-05-26,Distribuidora Global S.A.,33211.95,IT & Technology,Finance,Colombia,Time & Materials,2023.0
LC-2023-00111,2023-04-13,Grupo Logístico del Istmo,3631.77,Maintenance & Repair,Procurement,USA,Time & Materials,2023.0
LC-2023-00112,2023-03-01,Ferremax Industrial,35178.25,Professional Services,HR,Panama,Framework Agreement,2023.0
LC-2022-00113,2022-06-02,Distribuidora Global S.A.,39037.43,IT & Technology,Logistics,USA,Spot Purchase,2022.0
LC-2022-00114,2022-07-13,Seguridad Total Corp,197770.62,IT & Technology,Legal,Panama,Framework Agreement,2022.0
LC-2023-00115,2023-04-30,IT Solutions Group,3682.91,Maintenance & Repair,Legal,Panama,Framework Agreement,2023.0
LC-2022-00116,2022-05-10,DataCenter Solutions,7725.8,Medical Supplies,HR,USA,Fixed Price,2022.0
LC-2022-00117,2022-01-16,IT Solutions Group,4665.42,Maintenance & Repair,Procurement,Panama,Spot Purchase,2022.0
LC-2023-00118,2023-10-01,TechSupplies Panama,8933.7,Office Supplies,Procurement,Panama,Framework Agreement,2023.0
LC-2023-00119,2023-10-04,IT Solutions Group,27288.87,Maintenance & Repair,Marketing,Panama,Framework Agreement,2023.0
LC-2022-00120,2022-08-21,Distribuidora Global S.A.,89529.16,IT & Technology,Finance,Panama,Framework Agreement,2022.0
LC-2023-00121,2023-12-12,DataCenter Solutions,16099.57,Medical Supplies,Finance,Panama,Time & Materials,2023.0
LC-2022-00122,2022-05-30,Distribuidora Global S.A.,12194.44,IT & Technology,Sales,Panama,Spot Purchase,2022.0
LC-2023-00123,2023-09-27,TechSupplies Panama,195507.33,Office Supplies,HR,Panama,Spot Purchase,2023.0
LC-2023-00124,2023-11-14,TechSupplies Panama,,Office Supplies,Logistics,Panama,Framework Agreement,2023.0
LC-2022-00125,2022-12-20,Transportes Rápidos S.A.,11852.4,Marketing,HR,Panama,Spot Purchase,2022.0
LC-2023-00126,2023-01-29,Transportes Rápidos S.A.,131358.23,Marketing,Procurement,Panama,Time & Materials,2023.0
LC-2022-00127,2022-01-23,Grupo Logístico del Istmo,11062.94,Maintenance & Repair,Logistics,Colombia,Framework Agreement,2022.0
LC-2022-00128,2022-10-21,MedEquip Latinoamerica,2101.81,Security,Operations,USA,Spot Purchase,2022.0
LC-2023-00129,2023-11-26,TechSupplies Panama,40928.49,Office Supplies,IT,USA,Framework Agreement,2023.0
LC-2022-00130,2022-11-13,Distribuidora Global S.A.,19847.42,IT & Technology,Finance,Colombia,Fixed Price,2022.0
LC-2022-00131,2022-06-29,Distribuidora Global S.A.,5648.83,IT & Technology,Logistics,Panama,Spot Purchase,2022.0
LC-2022-00132,2022-09-21,Grupo Logístico del Istmo,39429.74,Maintenance & Repair,Marketing,Panama,Time & Materials,2022.0
LC-2022-00133,2022-03-19,Oficentro Internacional,10150.07,Logistics & Transport,Sales,Panama,Spot Purchase,2022.0
LC-2022-00134,2022-04-03,PAPELERÍA Y MÁS,10000.48,Uniforms & PPE,Legal,USA,Framework Agreement,2022.0
LC-2023-00135,2023-10-16,Ferremax Industrial,12048.45,Professional Services,Logistics,USA,Spot Purchase,2023.0
LC-2023-00136,2023-10-26,Distribuidora Global S.A.,233262.87,IT & Technology,Marketing,Panama,Time & Materials,2023.0
LC-2022-00137,2022-02-16,Oficentro Internacional,14187.21,Logistics & Transport,Legal,Panama,Time & Materials,2022.0
LC-2023-00138,2023-04-10,Distribuidora Global S.A.,24674.51,IT & Technology,Marketing,Panama,Spot Purchase,2023.0
LC-2023-00139,2023-03-01,MedEquip Latinoamerica,16651.84,Security,Administration,Costa Rica,Time & Materials,2023.0
LC-2022-00140,2022-08-11,Energía Renovable S.A.,775.65,Catering & Food,Logistics,Panama,Framework Agreement,2022.0
LC-2022-00141,2022-03-04,Distribuidora Global S.A.,47712.65,IT & Technology,Sales,USA,Framework Agreement,2022.0
LC-2023-00142,2023-10-20,Catering Express Panama,34916.48,Logistics & Transport,Procurement,Panama,Time & Materials,2023.0
LC-2022-00143,2022-03-12,Oficentro Internacional,5276.51,Logistics & Transport,HR,USA,Time & Materials,2022.0
LC-2023-00144,2023-09-03,Mantenimiento Integral,,Office Supplies,IT,Panama,Time & Materials,2023.0
LC-2023-00145,2023-11-08,Distribuidora Global S.A.,49605.62,IT & Technology,Logistics,Panama,Fixed Price,2023.0
LC-2022-00146,2022-06-28,Seguridad Total Corp,15878.71,IT & Technology,Administration,Panama,Fixed Price,2022.0
LC-2023-00147,2023-01-06,Distribuidora Global S.A.,8230.97,IT & Technology,Finance,USA,Spot Purchase,2023.0
LC-2023-00148,2023-04-15,Consultoría Estratégica,678.11,Medical Supplies,Operations,Costa Rica,Framework Agreement,2023.0
LC-2023-00149,2023-05-18,Catering Express Panama,10752.7,Logistics & Transport,Legal,Colombia,Fixed Price,2023.0
LC-2022-00150,2022-10-09,Oficentro Internacional,51864.07,Logistics & Transport,HR,Panama,Time & Materials,2022.0
LC-2023-00151,2023-04-10,Grupo Logístico del Istmo,49049.8,Maintenance & Repair,Administration,USA,Framework Agreement,2023.0
LC-2023-00152,2023-03-17,Distribuidora Global S.A.,55035.73,IT & Technology,Marketing,Costa Rica,Time & Materials,2023.0
LC-2022-00153,2022-11-17,Ferremax Industrial,16058.13,Professional Services,Legal,Costa Rica,Fixed Price,2022.0
LC-2022-00154,2022-03-29,TechSupplies Panama,47987.91,Office Supplies,Procurement,Panama,Fixed Price,2022.0
LC-2023-00155,2023-11-18,Mantenimiento Integral,7628.21,Office Supplies,Marketing,Panama,Framework Agreement,2023.0
LC-2022-00156,2022-12-27,Papelería y Más,1683.24,Uniforms & PPE,Operations,Panama,Framework Agreement,2022.0
LC-2022-00157,2022-04-28,Ferremax Industrial,340758.54,Professional Services,Finance,Panama,Framework Agreement,2022.0
LC-2023-00158,2023-09-16,Catering Express Panama,10004.09,Logistics & Transport,Administration,USA,Fixed Price,2023.0
LC-2022-00159,2022-01-07,TechSupplies Panama,8694.41,Office Supplies,Logistics,Panama,Framework Agreement,2022.0
LC-2023-00160,2023-01-21,Distribuidora Global S.A.,79846.74,IT & Technology,Operations,Panama,Time & Materials,2023.0
LC-2022-00161,2022-02-23,Papelería y Más,1139.08,Uniforms & PPE,Administration,USA,Fixed Price,2022.0
LC-2023-00162,2023-05-13,Distribuidora Global S.A.,93386.45,IT & Technology,Procurement,Colombia,Spot Purchase,2023.0
LC-2022-00163,2022-10-18,Ferremax Industrial,145847.19,Professional Services,Sales,Panama,Fixed Price,2022.0
LC-2022-00164,2022-01-08,Oficentro Internacional,13564.09,Logistics & Transport,IT,Panama,Fixed Price,2022.0
LC-2022-00165,2022-01-08,Seguridad Total Corp,20849.06,IT & Technology,Logistics,Panama,Fixed Price,2022.0
LC-2022-00166,2022-03-15,MedEquip Latinoamerica,9128.63,Security,IT,USA,Framework Agreement,2022.0
LC-2023-00167,2023-08-11,Ferremax Industrial,97389.35,Professional Services,Finance,Panama,Spot Purchase,2023.0
LC-2023-00168,2023-12-08,Grupo Logístico del Istmo,353681.33,Maintenance & Repair,Sales,Panama,Spot Purchase,2023.0
LC-2023-00169,2023-02-10,TechSupplies Panama,27052.49,Office Supplies,Administration,Panama,Fixed Price,2023.0
LC-2023-00170,2023-06-28,Seguridad Total Corp,1586.67,IT & Technology,Finance,USA,Fixed Price,2023.0
LC-2022-00171,2022-05-30,Papelería y Más,1294.3,Uniforms & PPE,HR,Panama,Fixed Price,2022.0
LC-2023-00172,2023-04-21,Seguridad Total Corp,1445.61,IT & Technology,Finance,Panama,Spot Purchase,2023.0
LC-2023-00173,2023-10-05,FleetCars Panama,4378.0,Security,Administration,Colombia,Framework Agreement,2023.0
LC-2022-00174,2022-12-27,DataCenter Solutions,8198.68,Medical Supplies,Logistics,USA,Fixed Price,2022.0
LC-2023-00175,2023-09-22,Distribuidora Global S.A.,50616.3,IT & Technology,Logistics,Panama,Fixed Price,2023.0
LC-2022-00176,2022-11-26,Consultoría Estratégica,16996.71,Medical Supplies,Operations,Panama,Time & Materials,2022.0
LC-2023-00177,2023-06-01,Ferremax Industrial,36886.55,Professional Services,Sales,Costa Rica,Fixed Price,2023.0
LC-2023-00178,2023-01-08,Suministros Médicos del Sur,43490.64,Uniforms & PPE,Marketing,USA,Time & Materials,2023.0
LC-2022-00179,2022-03-09,Oficentro Internacional,26434.14,Logistics & Transport,Administration,Panama,Framework Agreement,2022.0
LC-2022-00180,2022-03-25,TechSupplies Panama,500000.0,Office Supplies,Administration,Panama,Framework Agreement,2022.0
LC-2022-00181,2022-11-14,Publicidad Digital LATAM,12562.87,Marketing,Legal,Panama,Fixed Price,2022.0
LC-2023-00182,2023-06-05,Distribuidora Global S.A.,12983.19,IT & Technology,Marketing,Panama,Spot Purchase,2023.0
LC-2022-00183,2022-05-21,TechSupplies Panama,10045.99,Office Supplies,Procurement,Panama,Time & Materials,2022.0
LC-2023-00184,2023-11-09,Ferremax Industrial,64793.91,Professional Services,Marketing,Costa Rica,Fixed Price,2023.0
LC-2023-00185,2023-03-25,Grupo Logístico del Istmo,27773.7,Maintenance & Repair,HR,Panama,Time & Materials,2023.0
LC-2022-00186,2022-08-28,Publicidad Digital LATAM,14342.76,Marketing,Administration,Panama,Spot Purchase,2022.0
LC-2023-00187,2023-04-18,Ferremax Industrial,64079.84,Professional Services,IT,Panama,Spot Purchase,2023.0
LC-2022-00188,2022-09-14,Grupo Logístico del Istmo,33276.45,Maintenance & Repair,HR,Panama,Time & Materials,2022.0
LC-2022-00189,2022-03-27,Energía Renovable S.A.,1379.96,Catering & Food,Marketing,Panama,Framework Agreement,2022.0
LC-2023-00190,2023-04-07,TechSupplies Panama,5896.91,Office Supplies,Legal,Panama,Time & Materials,2023.0
LC-2022-00191,2022-03-25,Grupo Logístico del Istmo,21251.49,Maintenance & Repair,Sales,Panama,Spot Purchase,2022.0
LC-2022-00192,2022-02-09,Catering Express Panama,17758.12,Logistics & Transport,Sales,Panama,Time & Materials,2022.0
LC-2022-00193,2022-03-23,Distribuidora Global S.A.,,IT & Technology,Procurement,Panama,Fixed Price,2022.0
LC-2022-00194,2022-04-24,Energía Renovable S.A.,758.54,Catering & Food,Administration,USA,Spot Purchase,2022.0
LC-2022-00195,2022-04-24,TechSupplies Panama,44703.95,Office Supplies,Administration,Panama,Fixed Price,2022.0
LC-2022-00196,2022-10-26,DataCenter Solutions,8760.22,Medical Supplies,Administration,Panama,Time & Materials,2022.0
LC-2022-00197,2022-03-11,Grupo Logístico del Istmo,12573.81,Maintenance & Repair,Finance,USA,Framework Agreement,2022.0
LC-2022-00198,2022-02-14,Ferremax Industrial,43672.34,Professional Services,Operations,Panama,Spot Purchase,2022.0
LC-2023-00199,2023-11-04,Distribuidora Global S.A.,38942.85,IT & Technology,Finance,Panama,Time & Materials,2023.0
LC-2023-00200,2023-10-21,Oficentro Internacional,9213.6,Logistics & Transport,Operations,Panama,Framework Agreement,2023.0
LC-2023-00201,2023-04-14,Transportes Rápidos S.A.,8405.83,Marketing,HR,Panama,Fixed Price,2023.0
LC-2023-00202,2023-07-11,Uniforms & Workwear Co.,11397.81,Professional Services,Sales,Panama,Spot Purchase,2023.0
LC-2022-00203,2022-10-07,Oficentro Internacional,133207.25,Logistics & Transport,Operations,Colombia,Framework Agreement,2022.0
LC-2023-00204,2023-05-24,Papelería y Más,23877.77,Uniforms & PPE,Legal,Panama,Time & Materials,2023.0
LC-2022-00205,2022-03-22,Oficentro Internacional,6952.08,Logistics & Transport,Finance,Costa Rica,Spot Purchase,2022.0
LC-2023-00206,2023-11-08,Oficentro Internacional,11785.32,Logistics & Transport,Finance,Panama,Framework Agreement,2023.0
LC-2022-00207,2022-02-13,TechSupplies Panama,67375.88,Office Supplies,Procurement,Panama,Spot Purchase,2022.0
LC-2023-00208,2023-01-08,Grupo Logístico del Istmo,67274.94,Maintenance & Repair,Operations,Panama,Spot Purchase,2023.0
LC-2022-00209,2022-02-05,Distribuidora Global S.A.,67376.88,IT & Technology,Administration,Colombia,Spot Purchase,2022.0
LC-2023-00210,2023-11-27,Grupo Logístico del Istmo,500000.0,Maintenance & Repair,Administration,Panama,Time & Materials,2023.0
LC-2023-00211,2023-02-12,Distribuidora Global S.A.,72046.61,IT & Technology,HR,USA,Framework Agreement,2023.0
LC-2023-00212,2023-07-30,Distribuidora Global S.A.,141871.75,IT & Technology,HR,USA,Spot Purchase,2023.0
LC-2022-00213,2022-07-24,TechSupplies Panama,114096.76,Office Supplies,Administration,Panama,Spot Purchase,2022.0
LC-2023-00214,2023-11-15,Uniforms & Workwear Co.,13057.09,Professional Services,Procurement,Panama,Framework Agreement,2023.0
LC-2023-00215,2023-01-06,Uniforms & Workwear Co.,3062.83,Professional Services,HR,Costa Rica,Time & Materials,2023.0
LC-2023-00216,2023-07-22,Distribuidora Global S.A.,90288.29,IT & Technology,Procurement,Panama,Framework Agreement,2023.0
LC-2023-00217,2023-02-12,Distribuidora Global S.A.,14365.86,IT & Technology,Finance,Panama,Framework Agreement,2023.0
LC-2022-00218,2022-11-21,Seguridad Total Corp,3445.32,IT & Technology,Administration,Panama,Time & Materials,2022.0
LC-2022-00219,2022-05-13,Oficentro Internacional,20283.51,Logistics & Transport,Marketing,Colombia,Time & Materials,2022.0
LC-2022-00220,2022-06-15,Distribuidora Global S.A.,40064.62,IT & Technology,HR,Panama,Time & Materials,2022.0
LC-2022-00221,2022-07-21,Energía Renovable S.A.,158258.94,Catering & Food,Logistics,Panama,Framework Agreement,2022.0
LC-2023-00222,2023-08-30,Oficentro Internacional,3863.32,Logistics & Transport,Marketing,Panama,Time & Materials,2023.0
LC-2022-00223,2022-01-30,Papelería y Más,13758.2,Uniforms & PPE,Administration,Panama,Fixed Price,2022.0
LC-2023-00224,2023-09-25,Oficentro Internacional,5243.48,Logistics & Transport,IT,Mexico,Spot Purchase,2023.0
LC-2023-00225,2023-12-03,Oficentro Internacional,20613.09,Logistics & Transport,Logistics,USA,Time & Materials,2023.0
LC-2022-00226,2022-07-28,TechSupplies Panama,134153.6,Office Supplies,Legal,USA,Spot Purchase,2022.0
LC-2023-00227,2023-01-15,Oficentro Internacional,39227.61,Logistics & Transport,Sales,Panama,Time & Materials,2023.0
LC-2022-00228,2022-04-10,Distribuidora Global S.A.,9963.72,IT & Technology,Procurement,Panama,Time & Materials,2022.0
LC-2022-00229,2022-07-14,Grupo Logístico del Istmo,15392.5,Maintenance & Repair,HR,Panama,Framework Agreement,2022.0
